player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing,height,weight,age
2009-44,Pat White,96,3,4,49.0,507.0,783.0,6049.0,56.0,23.0,146.45,684.0,4480.0,47.0,42,9,2,22,6,1724,952,0,72.25,197.0,23
2007-43,Drew Stanton,47,4,4,45.0,543.0,846.0,6524.0,42.0,28.0,146.45000000000002,332.0,1512.0,15.0,22,26,9,12,20,1390,1276,0,75.25,226.0,23
2021-15,Mac Jones,1,11,3,39.0,413.0,556.0,6126.0,56.0,7.0,177.73333333333335,54.0,42.0,2.0,38,3,1,26,2,1928,765,0,75.0,220.0,23
2014-213,Tajh Boyd,15,0,4,47.0,901.0,1402.0,11904.0,107.0,39.0,145.8,505.0,1165.0,26.0,38,15,3,25,8,1837,1265,0,72.63,222.0,23
2009-174,Tom Brandstater,24,13,4,45.0,584.0,989.0,6857.0,47.0,32.0,116.1,132.0,152.0,8.0,28,23,16,20,12,1579,1386,0,77.0,220.0,24
2017-171,Nathan Peterman,64,0,4,36.0,398.0,663.0,5236.0,47.0,17.0,103.775,172.0,525.0,5.0,28,23,22,16,16,1561,1460,0,74.63,226.0,23
2022-94,Matt Corral,48,11,4,37.0,614.0,912.0,8287.0,57.0,23.0,162.2,334.0,1338.0,18.0,24,23,8,13,20,1556,1456,0,73.63,212.0,23
2005-69,Andrew Walter,4,9,4,48.0,777.0,1416.0,10617.0,85.0,36.0,126.8,175.0,-475.0,0.0,26,23,15,13,19,1482,1390,0,78.13,233.0,23
2006-3,Vince Young,78,2,3,37.0,444.0,718.0,6040.0,44.0,28.0,140.96666666666667,457.0,3127.0,37.0,34,4,1,23,2,1608,708,0,76.6,229.0,23
2001-155,A.J. Feeley,61,9,4,20.0,146.0,278.0,2133.0,15.0,6.0,123.75,37.0,0.0,1.0,34,14,5,21,11,1614,1211,0,75.0,220.0,24
2010-85,Colt McCoy,78,2,4,53.0,1157.0,1645.0,13253.0,112.0,45.0,155.55,447.0,1571.0,20.0,45,8,1,27,6,2052,1045,0,73.13,216.0,24
2019-133,Jarrett Stidham,6,11,3,37.0,545.0,848.0,7217.0,48.0,13.0,162.56666666666666,211.0,224.0,9.0,28,12,2,16,10,1501,876,0,74.38,218.0,23
